atk_soft_attack,atk_hard_attack,atk_breakthrough,atk_org,atk_armor,atk_hardness,atk_supply,def_defense,def_soft_attack,def_hard_attack,def_org,def_piercing,def_entrenchment,def_supply,terrain_mod,fort_level,cas_support,victory
388,198,95,33,24,0.63,0.62,765,285,154,76,89,18,0.57,0.9,0,0,0
625,211,294,79,43,0.16,0.68,314,161,89,40,75,9,0.98,0.8,0,0,1
86,186,193,42,89,0.28,0.84,989,344,110,32,44,19,0.82,0.6,3,0,0
533,241,499,78,47,0.57,0.52,106,151,12,68,71,22,0.86,0.4,2,0,1
561,313,318,64,16,0.4,0.78,999,462,170,36,109,19,0.3,1.0,10,0,0
54,167,307,31,51,0.52,0.42,580,271,85,44,114,10,0.81,1.0,2,1,0
417,341,431,36,102,0.7,0.7,926,472,85,63,43,23,0.49,0.4,3,0,0
96,153,303,48,30,0.38,0.49,407,343,221,38,26,17,0.95,0.6,0,1,0
615,217,280,53,11,0.88,0.98,304,497,213,34,75,17,0.76,0.6,5,0,1
520,373,173,61,17,0.96,0.63,636,600,71,71,116,9,0.45,0.9,1,1,0
294,364,353,56,19,0.91,0.65,716,421,241,66,15,14,0.41,1.0,10,0,0
125,369,175,37,38,0.63,0.94,301,132,21,48,29,17,0.52,0.6,0,0,1
568,375,63,41,56,0.16,0.64,700,349,86,78,7,5,0.75,0.4,2,0,0
85,29,257,64,76,0.12,0.79,433,202,232,35,82,1,0.56,0.4,10,1,0
268,140,295,74,76,0.91,0.58,735,236,251,51,98,20,0.45,0.4,10,0,0
434,373,466,52,118,0.03,0.4,732,335,26,61,74,15,0.61,0.9,2,0,0
113,294,427,30,86,0.74,0.92,262,448,253,40,65,1,0.44,0.6,2,0,1
580,288,359,69,102,0.79,0.92,540,207,218,47,9,17,0.47,0.6,5,1,1
375,76,225,47,88,0.76,0.92,130,150,118,48,43,9,0.37,0.9,10,0,1
618,103,177,76,113,0.0,0.36,805,333,169,72,82,14,0.45,0.6,0,0,0
502,178,181,54,8,0.54,0.45,431,435,201,47,89,14,0.76,0.8,10,1,0
110,186,449,50,7,0.26,0.73,759,206,62,55,85,13,0.39,1.0,5,0,0
170,214,84,77,92,0.22,0.92,895,350,132,59,113,8,0.56,0.6,0,0,0
62,92,92,30,52,0.49,0.65,361,461,215,72,104,18,0.93,0.9,2,0,0
746,62,152,66,51,0.07,0.52,151,371,234,79,43,15,0.71,1.0,2,1,1
334,188,92,44,102,0.02,0.66,366,146,263,69,27,0,0.43,0.4,10,0,0
107,132,149,54,20,0.71,0.82,941,592,163,46,4,3,0.5,0.4,0,1,0
386,183,306,30,66,0.12,0.4,226,238,35,58,48,20,0.87,0.8,5,0,0
397,11,368,50,86,0.87,0.97,511,589,227,43,14,1,0.4,0.8,2,0,1
572,246,385,70,78,0.18,0.52,376,80,123,64,36,15,0.66,1.0,0,1,1
247,307,33,71,80,0.33,0.32,509,348,68,60,94,2,0.83,0.9,2,0,0
211,89,395,40,86,0.48,0.48,611,505,32,47,51,21,0.4,0.4,0,0,0
644,125,276,53,36,0.23,0.91,532,132,167,41,34,16,0.97,0.6,10,0,0
262,178,282,58,9,0.15,0.58,799,524,91,78,104,15,0.81,0.9,5,1,0
541,67,371,78,91,0.01,0.92,237,553,212,55,67,14,0.77,0.9,5,1,1
220,210,328,43,31,0.01,0.37,466,426,38,65,68,9,0.48,0.9,10,1,0
128,233,391,48,73,0.9,0.81,437,372,46,61,82,19,0.75,0.6,1,0,0
497,45,239,66,41,0.7,0.43,996,496,229,65,31,25,0.5,0.8,0,1,0
252,68,317,51,29,0.21,0.99,390,363,254,50,56,7,0.94,0.9,3,1,1
93,193,478,45,68,0.79,1.0,540,536,215,70,23,5,0.71,0.4,5,1,0
415,350,300,45,48,0.1,0.62,184,563,79,52,94,24,0.69,0.4,5,0,0
103,58,397,62,69,0.97,0.97,966,449,53,59,51,2,0.61,0.4,1,0,0
257,366,458,43,70,0.48,0.35,923,207,89,75,12,9,0.63,0.9,5,0,0
668,349,225,44,18,0.56,0.5,123,517,262,45,8,25,0.71,0.8,1,0,1
785,294,314,73,46,0.58,0.5,175,385,282,68,31,23,0.34,1.0,2,1,1
61,325,359,45,36,0.84,0.67,226,457,126,55,103,12,0.93,1.0,2,0,0
291,214,417,61,70,0.74,0.9,979,358,288,35,63,21,0.87,1.0,5,0,0
237,322,433,52,96,0.31,0.31,503,155,15,76,34,11,0.81,1.0,0,0,1
308,247,271,31,13,0.07,0.85,197,521,157,49,87,0,0.71,0.4,5,0,0
67,218,454,76,67,0.02,0.87,565,517,256,49,33,10,0.6,0.9,3,1,0
57,278,48,74,57,0.2,0.93,463,334,70,61,56,3,0.86,1.0,0,0,0
640,247,170,75,47,0.01,0.43,666,470,123,37,46,6,0.64,1.0,1,0,1
296,279,396,71,85,0.4,0.68,304,473,34,70,120,8,0.5,0.8,0,1,1
680,89,123,66,47,0.93,0.92,536,528,195,52,32,10,0.47,0.8,10,0,0
549,392,38,59,71,0.88,0.76,200,89,119,44,15,12,0.74,0.8,0,0,1
611,352,424,61,20,0.95,0.75,196,114,254,48,43,20,0.53,0.4,0,1,1
252,114,84,62,56,0.09,0.4,368,533,112,41,45,22,0.94,0.8,3,0,0
282,287,431,77,70,0.38,0.65,985,535,133,46,55,18,0.71,0.9,10,0,0
769,228,302,30,55,0.37,0.57,230,443,144,79,48,13,0.84,0.8,5,1,0
468,163,472,35,120,0.07,0.75,767,580,221,59,57,15,0.3,0.4,3,1,0
172,361,221,70,60,0.1,0.78,802,214,212,59,47,22,0.53,0.4,2,0,0
569,264,345,62,5,0.53,0.37,200,117,222,30,60,18,0.83,0.8,5,0,1
314,132,97,68,110,0.74,0.86,353,315,29,40,37,11,1.0,0.4,0,1,1
710,114,403,75,44,0.45,0.58,163,442,64,51,88,10,0.37,1.0,10,0,1
735,227,303,63,76,0.37,0.48,639,68,212,41,64,10,0.76,0.4,0,1,1
506,222,177,67,18,0.54,0.64,174,180,169,38,46,13,0.47,0.8,0,1,1
370,33,432,66,79,0.24,0.5,882,298,281,77,6,25,0.62,0.6,0,0,0
507,342,343,65,6,0.1,0.98,205,511,120,74,88,20,0.98,1.0,3,0,1
387,235,216,49,87,0.42,0.86,860,409,16,69,9,23,0.61,1.0,0,0,1
572,164,147,38,17,0.38,0.68,548,263,192,53,109,20,0.51,0.8,3,1,0
763,244,474,80,103,0.1,0.35,549,232,112,48,16,13,0.44,0.8,5,0,1
94,385,315,58,31,0.51,0.92,925,278,296,46,59,20,0.7,0.8,0,0,0
459,358,62,66,38,0.95,0.69,359,478,82,64,8,3,0.83,0.8,5,0,0
330,92,304,47,12,0.3,0.86,430,447,149,71,76,25,0.74,0.6,0,0,0
299,344,322,70,4,0.74,0.77,201,363,216,61,35,13,0.76,0.9,1,1,1
242,141,206,69,9,0.76,0.59,107,567,48,61,65,18,0.63,0.4,5,0,0
401,248,197,45,36,0.55,0.97,126,230,175,31,79,8,0.94,0.4,10,0,0
366,247,467,52,66,0.29,0.48,141,125,287,53,41,12,0.43,0.6,3,0,1
331,200,82,39,16,0.74,0.66,925,134,193,40,14,23,0.79,0.8,0,0,0
643,397,321,55,5,0.89,0.92,671,502,13,42,9,20,0.47,0.9,3,1,1
130,100,342,59,67,0.84,0.7,671,93,211,77,6,15,0.3,1.0,3,0,1
531,395,124,32,76,0.41,0.7,181,266,220,73,27,12,0.73,0.8,5,1,0
778,311,47,35,65,0.09,0.71,156,394,95,48,42,21,0.83,0.8,0,0,0
331,274,387,75,72,0.7,0.34,903,417,15,31,22,21,0.37,0.9,3,0,1
197,189,277,55,111,0.35,0.53,326,593,212,34,39,16,0.33,0.9,0,1,1
75,325,456,66,99,0.89,0.55,421,457,169,39,57,14,0.98,0.6,10,0,0
121,104,164,80,3,0.01,0.46,349,128,76,69,61,23,0.46,0.6,0,1,0
128,39,118,44,7,1.0,0.79,360,467,119,63,19,19,0.35,0.6,1,0,0
721,159,302,76,30,0.72,0.82,767,506,191,37,114,22,0.54,0.9,10,0,0
394,138,190,69,55,0.75,0.97,434,577,52,72,98,12,0.99,0.8,1,1,0
136,40,317,53,95,0.61,0.85,417,251,121,54,11,18,0.63,0.4,0,0,1
234,295,56,63,23,0.58,0.93,118,318,234,45,71,15,0.62,0.6,0,1,1
310,219,334,65,111,0.09,0.86,693,591,148,43,50,7,0.99,0.9,0,0,1
649,184,454,69,10,0.38,0.46,524,545,13,71,96,12,0.46,0.9,0,0,1
191,45,391,54,1,0.07,0.77,152,432,194,77,114,6,0.48,0.6,10,0,0
151,75,92,35,65,0.71,0.86,262,454,183,76,41,23,0.93,0.6,1,0,0
613,212,139,55,118,0.62,0.34,535,312,193,53,70,24,0.32,0.6,2,0,1
480,195,93,34,40,0.1,0.6,685,539,181,36,68,3,0.67,1.0,1,0,0
264,133,319,76,5,0.11,0.31,924,225,121,71,58,9,0.6,0.6,1,0,0
640,349,219,67,75,0.03,0.49,968,221,215,54,40,3,0.91,0.6,10,0,0
253,323,256,48,70,0.2,0.36,497,486,272,63,32,9,1.0,0.9,3,0,0
713,38,262,46,53,0.08,0.91,149,57,113,30,58,9,0.93,0.8,2,0,1
82,186,170,41,48,0.62,0.75,453,83,62,73,79,23,0.77,0.6,2,0,0
195,112,435,35,5,0.89,0.91,416,233,198,66,8,22,0.38,1.0,2,1,1
667,385,124,78,48,0.46,0.83,544,340,68,72,97,6,1.0,0.9,1,1,1
140,245,262,47,52,0.22,0.54,708,409,192,75,55,4,0.82,1.0,3,1,0
522,110,172,69,1,0.24,0.95,764,85,209,66,30,10,0.4,0.8,0,0,1
761,397,282,50,19,0.4,0.75,861,576,111,49,44,0,0.56,0.6,0,0,1
56,13,285,64,59,0.45,0.97,750,324,80,71,72,15,0.68,0.6,0,0,0
632,106,375,34,77,0.51,0.99,523,420,276,73,102,13,0.39,0.8,0,0,1
70,141,151,60,119,0.22,0.58,901,522,76,80,25,18,0.63,0.6,0,0,0
157,224,106,69,72,0.79,0.97,750,480,85,75,82,11,0.97,0.9,10,0,0
442,73,458,72,39,0.31,0.53,608,171,205,40,113,25,0.39,0.4,10,0,0
467,173,281,76,27,0.68,0.52,871,182,240,46,3,2,0.54,1.0,1,0,1
339,134,288,76,63,0.76,0.8,908,137,163,76,26,17,0.35,0.9,0,1,1
371,326,252,59,42,0.78,0.91,544,172,18,56,99,25,0.47,1.0,10,1,0
643,140,408,48,12,0.21,0.33,743,504,205,40,85,23,0.46,0.9,0,0,1
471,92,238,35,67,0.67,0.85,327,201,150,52,39,10,0.74,0.4,1,1,1
714,222,327,55,37,0.54,0.61,715,86,139,35,19,18,0.81,0.8,2,0,1
365,31,154,70,18,0.75,0.6,350,448,115,67,40,6,0.4,0.6,3,0,0
390,99,358,75,58,0.2,0.36,630,315,140,44,45,12,0.35,0.8,0,0,1
693,257,403,50,3,0.38,0.65,904,422,65,37,60,6,0.41,0.6,2,1,1
80,354,382,59,3,0.36,0.9,612,392,230,58,53,9,0.58,0.6,0,0,0
248,264,143,41,12,0.31,0.84,594,47,150,74,61,20,0.93,1.0,5,0,0
399,75,488,70,44,0.07,0.67,270,403,260,52,116,25,0.52,0.8,5,1,1
617,36,352,56,84,0.32,0.36,137,60,17,73,73,23,0.62,1.0,0,1,1
352,255,324,78,120,0.42,0.74,661,280,67,49,70,16,0.63,0.6,5,0,1
513,386,252,40,24,0.4,0.89,981,234,277,50,34,8,0.95,1.0,5,0,0
160,377,389,69,46,0.66,0.84,444,410,176,67,12,10,0.63,0.9,0,1,1
445,257,151,73,56,0.7,0.37,450,525,280,59,29,15,0.82,0.6,10,0,0
438,318,72,50,44,0.9,0.93,503,555,269,59,68,8,0.42,1.0,3,0,0
782,275,278,80,87,0.9,0.67,362,589,147,67,43,12,0.39,1.0,0,0,1
66,389,434,53,13,0.56,0.91,785,239,274,61,84,8,0.62,0.4,5,0,0
100,151,222,59,116,0.18,0.62,826,406,227,50,45,5,0.89,0.6,2,1,0
201,26,456,47,88,0.55,0.61,493,593,42,76,35,2,0.66,0.4,0,0,0
788,141,151,71,37,0.45,0.48,490,364,269,50,74,7,0.83,0.9,2,1,1
516,251,302,67,11,0.5,0.79,899,229,193,63,35,2,0.93,0.8,0,1,1
453,175,483,42,95,0.78,0.56,371,482,238,80,54,24,0.37,0.9,0,1,1
547,331,103,60,94,0.67,0.95,314,183,290,46,80,10,0.81,0.4,1,0,1
271,200,475,63,70,0.74,0.88,879,556,263,50,28,13,0.67,0.9,3,0,1
705,168,175,33,67,0.48,0.83,616,183,66,52,21,25,0.68,0.4,1,0,1
548,63,205,53,8,0.28,0.72,116,507,41,78,38,7,0.47,0.8,0,1,1
694,235,499,40,21,0.09,0.47,642,575,219,45,85,20,0.3,1.0,0,0,1
426,242,279,62,17,0.65,0.39,115,476,97,68,85,23,0.96,0.9,0,1,1
221,379,187,55,59,0.71,0.97,541,415,65,60,51,5,0.57,0.9,2,0,1
505,302,44,80,93,0.43,0.36,498,326,210,60,21,10,0.41,1.0,0,0,1
443,12,449,47,12,0.22,0.54,660,180,43,46,111,8,0.41,0.6,2,1,1
787,155,326,70,8,0.31,0.39,854,386,172,32,21,17,0.79,0.6,5,0,0
263,174,465,79,34,0.81,0.76,223,413,105,64,74,18,0.48,0.9,2,0,1
543,242,238,62,0,0.26,0.97,822,597,107,75,35,2,0.3,1.0,0,0,1
251,342,141,61,18,0.48,0.47,952,381,137,46,31,10,0.75,0.9,5,0,0
534,105,253,71,15,0.04,0.38,775,283,273,68,76,24,0.96,0.6,1,0,0
466,128,339,31,21,0.14,0.98,743,450,59,48,85,18,0.78,0.8,5,1,0
306,293,394,74,45,0.84,0.48,686,417,51,63,2,22,0.56,0.9,5,1,0
784,178,234,66,23,0.36,0.7,826,273,32,37,31,9,0.54,0.9,2,0,1
575,112,418,38,64,0.98,0.98,531,455,223,42,74,18,0.49,1.0,2,0,1
225,359,201,36,103,0.71,0.5,572,84,100,71,6,5,0.57,0.8,0,1,1
755,309,393,53,28,0.04,0.48,533,43,96,49,85,2,0.52,0.4,3,0,1
468,18,315,40,120,0.1,0.48,989,413,252,64,1,2,0.87,0.8,0,0,0
296,123,413,51,57,0.75,0.35,820,449,269,58,96,22,0.69,0.9,0,0,0
773,139,201,73,101,0.99,0.76,487,222,99,52,36,25,1.0,0.6,1,0,1
65,223,218,33,97,0.01,0.79,737,482,89,48,110,7,0.53,0.4,10,1,0
516,205,241,75,8,0.94,0.33,927,395,48,40,109,7,0.76,0.9,0,0,1
713,299,156,73,9,0.05,0.51,376,273,144,43,6,25,0.73,0.4,0,0,1
661,317,181,48,92,0.04,0.58,692,555,137,70,92,4,0.97,0.6,5,0,0
182,379,406,65,72,0.54,0.4,416,496,89,43,64,25,0.41,0.8,5,0,0
472,101,455,73,78,0.39,0.87,681,504,74,44,11,18,0.74,0.4,1,0,1
364,13,496,57,4,0.15,0.44,302,175,237,40,28,2,0.62,0.4,5,0,0
56,236,202,72,104,0.72,0.52,954,295,60,73,26,12,0.86,0.6,0,1,0
254,223,339,38,16,0.74,0.33,679,402,43,47,119,13,0.7,1.0,1,1,0
588,115,285,65,10,0.9,0.84,571,216,86,79,90,2,0.76,0.4,2,0,1
279,331,454,69,0,0.12,0.63,543,381,30,49,118,13,0.69,0.4,0,0,1
534,193,424,79,95,0.36,0.47,191,455,277,59,20,14,0.36,0.6,1,0,1
723,389,39,51,63,0.1,0.35,798,298,127,62,1,21,0.42,0.8,10,1,0
574,16,500,53,103,0.94,0.67,375,449,118,41,95,9,0.62,0.9,3,0,1
281,239,73,62,117,0.91,0.57,848,278,178,66,97,25,0.67,0.8,0,0,0
284,337,92,76,88,0.84,0.47,427,600,51,33,32,0,0.83,1.0,3,0,1
322,104,410,33,119,0.85,0.93,837,499,118,73,38,20,0.73,0.4,10,1,0
430,322,154,67,55,0.07,0.92,440,517,94,68,100,13,0.66,0.8,10,0,0
765,20,373,31,84,0.35,0.42,155,384,246,46,34,18,0.85,0.9,10,0,0
559,229,301,75,53,0.96,0.46,152,426,79,34,115,5,0.8,0.4,2,0,1
109,245,432,73,59,0.35,0.78,170,440,70,73,66,9,0.75,0.8,10,0,0
355,331,300,52,94,0.7,0.97,808,192,45,32,20,10,0.71,0.4,2,0,1
264,27,243,73,42,0.32,0.66,469,281,83,69,13,8,0.33,0.8,0,0,1
555,62,490,69,19,0.95,0.78,809,368,139,38,102,17,0.91,0.6,10,1,0
576,146,468,75,52,0.98,0.4,289,545,37,38,88,8,0.48,0.8,0,0,1
720,153,34,33,26,0.43,0.95,659,188,52,39,118,8,0.42,1.0,3,0,0
124,165,412,35,120,0.69,0.68,937,483,50,65,116,0,0.55,0.6,1,0,0
320,16,319,80,33,0.18,0.49,674,173,36,38,43,16,0.89,0.8,2,1,1
629,190,293,40,30,0.32,0.65,688,491,16,50,101,9,0.88,1.0,1,0,0
278,299,399,56,91,0.94,0.95,246,461,120,45,37,14,0.38,1.0,0,0,1
667,171,324,33,3,0.39,0.42,381,96,100,61,23,18,1.0,1.0,10,0,0
398,215,182,45,84,0.06,0.4,529,198,154,80,52,8,0.64,0.6,3,1,0
278,47,129,64,3,0.1,0.71,656,259,192,40,74,10,0.76,0.6,10,0,0
551,336,59,36,83,0.58,0.59,702,579,238,33,62,22,0.69,0.6,3,1,0
126,20,500,60,89,0.51,0.52,562,575,76,78,16,9,0.71,1.0,5,0,0
381,134,240,35,75,0.39,0.37,890,485,135,62,73,15,0.95,0.6,5,0,0
765,25,105,60,18,0.12,0.84,450,123,57,47,6,1,0.43,1.0,0,0,1
569,169,293,37,81,0.23,0.31,777,56,13,64,94,2,0.7,0.6,0,1,1
287,157,172,65,103,0.91,0.84,342,272,154,75,39,0,0.41,0.4,10,1,0
489,35,248,40,11,0.64,0.33,837,157,252,53,120,22,0.72,0.4,2,1,0
630,147,299,67,67,0.33,0.65,909,234,220,39,43,19,0.62,0.4,1,0,1
97,193,230,70,36,0.39,0.97,211,579,280,35,113,14,0.35,0.8,0,0,1
165,210,360,51,48,0.97,0.96,587,595,104,61,54,2,0.47,0.6,2,0,0
129,61,293,71,39,0.58,0.58,902,458,289,70,7,18,0.93,0.9,0,0,0
214,17,282,64,41,0.1,0.45,904,450,107,50,82,20,0.32,0.9,5,0,0
307,156,262,75,18,0.47,0.66,766,435,131,59,1,2,0.74,0.6,1,1,1
458,182,491,68,37,0.41,0.71,279,408,204,32,21,12,0.98,0.6,3,0,1
328,317,156,62,5,0.22,0.79,711,193,166,31,55,15,0.99,0.4,1,0,0
249,80,211,49,90,0.49,0.53,664,189,105,77,56,21,0.97,1.0,5,0,0
798,339,338,45,20,0.7,0.94,138,578,66,50,36,23,0.32,0.4,2,1,1
255,307,85,70,14,0.59,0.77,584,418,288,30,61,17,0.38,0.6,1,0,1
612,298,175,61,42,0.63,0.91,490,302,137,48,58,8,0.98,1.0,0,0,1
667,104,115,67,67,0.54,0.68,482,286,108,52,83,2,0.55,0.6,3,1,1
69,111,254,68,16,0.31,0.49,976,559,93,44,114,9,0.58,0.4,1,0,0
320,139,468,70,68,0.59,0.57,233,408,217,74,73,7,0.41,0.4,0,0,1
264,29,356,34,66,0.27,0.55,725,361,212,70,102,16,0.8,0.4,2,1,0
